punto,fecha,CO,NO2,PM10,PM2.5,SO2
CA-ILO-01,2022-06-27,218.2276595744681,7.263636363636365,20.23913043478261,12.436842105263159,5.177272727272727
CA-ILO-01,2022-06-28,219.8382978723404,7.43,20.691666666666666,14.36315789473684,19.266000000000002
CA-ILO-01,2022-06-29,207.0,8.5625,21.48695652173913,13.945833333333333,6.358444444444444
CA-ILO-01,2022-06-30,209.7413043478261,9.2,22.38,15.126086956521737,6.006511627906976
CA-ILO-01,2022-07-01,205.49347826086958,7.654999999999999,15.436,8.75263157894737,5.50909090909091
CA-ILO-01,2022-07-02,203.97619047619048,5.671428571428571,12.34,7.445,5.113928571428572
CA-ILO-01,2022-07-03,227.11627906976744,6.2,16.45909090909091,11.122727272727273,5.785333333333333
CA-ILO-01,2022-07-04,233.70652173913044,7.6450000000000005,18.58695652173913,11.657894736842104,5.130714285714285
CA-ILO-01,2022-07-05,199.45434782608694,7.185714285714286,20.154545454545453,11.70952380952381,5.276363636363636
CA-ILO-01,2022-07-06,200.5888888888889,6.688888888888889,22.208000000000002,16.575,11.638484848484849
CA-ILO-01,2022-07-07,209.84565217391304,5.904999999999999,17.86521739130435,12.116666666666667,5.2956666666666665
CA-ILO-01,2022-07-08,228.57659574468087,9.38421052631579,24.645454545454548,16.152380952380952,6.003571428571429
CA-ILO-01,2022-07-09,223.0279069767442,6.904761904761905,19.583333333333332,13.386363636363637,5.196969696969697
CA-ILO-01,2022-07-10,229.2425,6.279999999999999,17.356521739130436,13.090909090909092,6.878048780487805
CA-ILO-01,2022-07-11,220.50476190476192,6.025,14.368,9.5375,5.239000000000001
CA-ILO-01,2022-07-12,212.2826086956522,9.227272727272727,23.572,13.125,5.42962962962963
CA-ILO-01,2022-07-13,210.27608695652177,10.345833333333333,22.772,15.02608695652174,6.232424242424242
CA-ILO-01,2022-07-14,217.68125,6.5,12.183333333333334,6.905263157894736,5.564444444444444
CA-ILO-01,2022-07-15,233.08913043478262,7.0636363636363635,16.966666666666665,9.845833333333333,13.13921052631579
CA-ILO-01,2022-07-16,234.76000000000002,5.9526315789473685,19.483333333333334,8.4,5.542142857142857
CA-ILO-01,2022-07-17,240.75555555555556,4.98125,12.416666666666666,9.128571428571428,5.678181818181818
CA-ILO-01,2022-07-18,234.16000000000003,6.972727272727273,23.86521739130435,16.681818181818183,16.29659090909091
CA-ILO-01,2022-07-19,219.5533333333333,7.360869565217392,17.396,11.90952380952381,5.641379310344828
CA-ILO-01,2022-07-20,222.12954545454548,8.295,18.404545454545453,14.304347826086957,5.664864864864865
CA-ILO-01,2022-07-21,227.04651162790697,12.389473684210527,20.786956521739132,15.392000000000001,5.724571428571429
CA-ILO-01,2022-07-22,230.28222222222223,10.473684210526315,14.291666666666666,9.908,6.033170731707317
CA-ILO-01,2022-07-23,244.3978260869565,8.01304347826087,16.15714285714286,10.73,6.13860465116279
CA-ILO-01,2022-07-24,272.35869565217394,8.355555555555556,15.904761904761905,11.595238095238095,6.861666666666666
CA-ILO-01,2022-07-25,271.49574468085103,9.204761904761906,21.795833333333334,16.7,14.753863636363635
CA-ILO-01,2022-07-26,244.76976744186047,6.8,17.945833333333333,14.313636363636363,8.89595238095238
CA-ILO-01,2022-07-27,245.53333333333333,6.615,19.35217391304348,14.713043478260868,14.896410256410258
CA-ILO-01,2022-07-28,229.53636363636363,5.083333333333333,17.258333333333333,12.642857142857142,6.062
CA-ILO-01,2022-07-29,229.04000000000002,7.321739130434783,15.88695652173913,10.738095238095237,6.236969696969696
CA-ILO-01,2022-07-30,242.31555555555556,8.705,21.91304347826087,17.5,8.694285714285716
CA-ILO-01,2022-07-31,240.21304347826086,5.422222222222222,11.005263157894737,7.8136363636363635,6.108750000000001
CA-ILO-01,2022-08-01,248.7808510638298,8.396666666666667,11.11,6.883333333333334,6.18
CA-ILO-01,2022-08-02,197.09279069767442,7.212916666666666,15.11304347826087,9.595238095238095,6.318181818181818
CA-ILO-01,2022-08-03,195.6391304347826,5.463,19.03181818181818,10.215,6.002307692307692
CA-ILO-01,2022-08-04,205.70063829787236,5.805416666666667,11.959999999999999,8.9375,5.984516129032259
CA-ILO-01,2022-08-05,233.0810638297872,10.8375,18.170833333333334,12.47272727272727,6.183055555555556
CA-ILO-01,2022-08-06,229.42666666666665,6.154347826086957,16.244,12.175,6.675483870967742
CA-ILO-01,2022-08-07,224.77297872340426,4.923333333333334,11.0,9.119047619047619,5.644444444444444
CA-ILO-01,2022-08-08,216.12638297872343,7.091739130434783,15.11304347826087,10.684999999999999,5.711666666666667
CA-ILO-01,2022-08-09,221.75583333333336,7.1825,18.537499999999998,13.649999999999999,5.8348
CA-ILO-01,2022-08-10,227.95063829787236,10.029166666666667,22.036363636363635,16.995238095238093,5.646111111111111
CA-ILO-01,2022-08-11,215.44466666666668,8.190434782608696,26.645833333333332,20.770833333333332,15.049999999999999
CA-ILO-01,2022-08-12,231.5723404255319,8.536666666666667,22.941666666666666,16.518181818181816,11.235128205128206
CA-ILO-01,2022-08-13,236.586875,6.361249999999999,15.530434782608696,9.533333333333333,6.041666666666667
CA-ILO-01,2022-08-14,239.56847826086957,5.05375,13.390476190476189,9.904761904761905,5.94923076923077
CA-ILO-01,2022-08-15,253.8495744680851,5.704999999999999,17.604347826086954,12.2,5.826315789473685
CA-ILO-01,2022-08-16,240.11399999999998,6.574166666666667,23.76666666666667,16.5,5.860476190476191
CA-ILO-01,2022-08-17,225.73297872340427,6.00608695652174,19.217391304347824,12.791304347826086,5.807777777777778
CA-ILO-01,2022-08-18,222.58386363636365,6.8960869565217395,18.796,13.069999999999999,5.725833333333333
CA-ILO-01,2022-08-19,207.77541666666664,7.247916666666666,19.208333333333332,13.875,11.527777777777779
CA-ILO-01,2022-08-20,214.1576086956522,6.824583333333333,13.791666666666666,9.721739130434782,5.820434782608696
CA-ILO-01,2022-08-21,217.564375,5.325652173913044,13.979166666666666,9.661904761904761,5.788518518518519
CA-ILO-01,2022-08-22,222.4682222222222,5.451818181818182,14.181818181818182,9.84736842105263,5.953703703703703
